MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition			110811 X-Prize Challenge 3A, 304L transverse tensile test, Wo=0.2495", Thicko=0.124"			Time:	150.17505	Sec	11/9/2011 2:56:05 PM
Time,Axial Displacement,Axial Strain,Axial Force
Sec,in,in/in,lbf
269.95044,0.80898309,0.44116765,2937.8435
269.98047,0.80900162,0.4412207,2937.6245
270.0105,0.80918163,0.44130296,2939.3958
270.04053,0.80926085,0.44136909,2937.7634
270.07056,0.80929363,0.44144243,2938.7878
270.10059,0.80933839,0.44148898,2938.5596
270.13062,0.80942416,0.44156155,2936.3965
270.16064,0.80957258,0.44159579,2937.8669
270.19067,0.80963218,0.44166481,2935.9001
270.2207,0.80976135,0.44173652,2937.2917
270.25073,0.80977404,0.44178689,2936.4277
270.28076,0.80997843,0.44187176,2938.2112
270.31079,0.8099786,0.44193456,2936.9707
270.34082,0.81011862,0.442,2937.1677
270.37085,0.81019539,0.44206932,2936.8242
270.40088,0.81030113,0.4421154,2937.9873
270.43091,0.81031919,0.44219416,2937.1606
270.46094,0.81045526,0.44225523,2938.9321
270.49097,0.81057686,0.44233948,2937.5955
270.521,0.81071448,0.44239548,2938.4219
270.55103,0.8107515,0.44245595,2938.5315
270.58105,0.81078589,0.44252107,2938.1326
270.61108,0.81095171,0.44257617,2937.2749
270.64111,0.81101596,0.44264588,2939.907
270.67114,0.81106871,0.44270352,2937.8694
270.70117,0.81113845,0.44279099,2938.0593
270.7312,0.81121784,0.44283122,2938.2856
270.76123,0.81130207,0.44289982,2937.095
270.79126,0.81152135,0.44297832,2937.3323
270.82129,0.81164157,0.44306189,2938.6804
270.85132,0.81156349,0.44309619,2937.5747
270.88135,0.81173617,0.4431617,2939.4565
270.91138,0.81187594,0.44323203,2939.8269
270.94141,0.81184787,0.44328979,2940.2275
270.97144,0.81205761,0.44336453,2937.2112
271.00146,0.81206727,0.44342902,2937.4675
271.03149,0.81216758,0.44350243,2938.7793
271.06152,0.8122834,0.44356415,2938.9766
271.09155,0.81237423,0.44359598,2937.5764
271.12158,0.81249845,0.44368395,2938.907
271.15161,0.81253886,0.44375592,2938.3127
271.18164,0.81258833,0.44382417,2940.3689
271.21167,0.81275707,0.44387394,2938.7139
271.2417,0.81279802,0.44396248,2939.7056
271.27173,0.81289184,0.44401011,2938.8967
271.30176,0.8130368,0.44408777,2939.4778
271.33179,0.81304526,0.44415119,2941.0115
271.36182,0.81312621,0.44418597,2936.9236
271.39185,0.81325328,0.44427413,2938.3733
271.42188,0.81340206,0.44434831,2938.0916
271.4519,0.81345028,0.44439968,2938.7156
271.48193,0.81358874,0.44446409,2938.5332
271.51196,0.81354511,0.44452497,2939.3896
271.54199,0.8136813,0.44459477,2939.3047
271.57202,0.81377643,0.44466829,2938.1895
271.60205,0.81391555,0.44471699,2938.8494
271.63208,0.81397539,0.44480646,2939.4277
271.66211,0.81401592,0.44487581,2937.7546
271.69214,0.81418818,0.44491696,2938.9429
271.72217,0.81415522,0.44498631,2938.7676
271.7522,0.81437087,0.44503477,2938.8782
271.78223,0.81441408,0.44511437,2939.1489
271.81226,0.81450981,0.44519499,2940.1062
271.84229,0.81455404,0.44523916,2937.5464
271.87231,0.81470317,0.44528767,2937.7744
271.90234,0.81476009,0.44537956,2940.7729
271.93237,0.81476623,0.44542819,2938.3374
271.9624,0.81497997,0.44550127,2939.3027
271.99243,0.8150565,0.44556844,2938.8008
272.02246,0.81520778,0.44564873,2939.7029
272.05249,0.81523716,0.44569758,2938.7507
272.08252,0.81528991,0.44576263,2939.3408
272.11255,0.81545925,0.4458431,2938.3892
272.14258,0.81553465,0.44588816,2938.6475
272.17261,0.81562936,0.44597146,2940.9705
272.20264,0.815723,0.44600987,2939.5869
272.23267,0.81575161,0.44610453,2941.4609
272.2627,0.81585085,0.44616458,2941.0049
272.29272,0.8159591,0.44623595,2938.5269
272.32275,0.81601787,0.44630262,2939.011
272.35278,0.81615359,0.44636357,2940.1194
272.38281,0.81619281,0.44644076,2939.8513
272.41284,0.81631541,0.44649452,2939.8726
272.44287,0.8164174,0.44654852,2940.0952
272.4729,0.816477,0.44662017,2938.541
272.50293,0.81662321,0.44669732,2942.1091
272.53296,0.81668401,0.44675234,2939.4387
272.56299,0.81686479,0.44681236,2938.5432
272.59302,0.81686318,0.4468784,2938.8174
272.62305,0.8169685,0.44692561,2941.6904
272.65308,0.81710094,0.44699734,2940.8857
272.68311,0.81717849,0.44707373,2941.1721
272.71313,0.81720924,0.44711721,2938.3201
272.74316,0.81735939,0.44720337,2942.5884
272.77319,0.81730789,0.44724593,2938.9275
272.80322,0.81742239,0.44733366,2938.2612
272.83325,0.81755066,0.44740766,2940.3892
272.86328,0.81767368,0.44744611,2939.3542
272.89331,0.81773961,0.44752976,2938.6982
272.92334,0.81790632,0.44759133,2940.697
272.95337,0.8178587,0.44765866,2940.1682
272.9834,0.81807357,0.44771004,2940.2139
273.01343,0.81806624,0.44779545,2941.4995
273.04346,0.81819504,0.44783112,2941.4055
273.07349,0.81834656,0.44791061,2940.447
273.10352,0.81838489,0.44799659,2940.2312
273.13354,0.8185066,0.44804978,2940.1836
273.16357,0.81851691,0.4481034,2938.7314
273.1936,0.81862777,0.44816649,2940.7397
273.22363,0.81870246,0.44823083,2942.5056
273.25366,0.81887352,0.44829494,2941.5669
273.28369,0.81895828,0.44837332,2940.7498
273.31372,0.81904393,0.44844571,2940.4282
273.34375,0.81909156,0.44849899,2940.0745
273.37378,0.81925547,0.44857082,2941.998
273.40381,0.81934661,0.44864169,2941.0947
273.43384,0.81938249,0.44867894,2941.0359
273.46387,0.81948233,0.44875073,2940.4946
273.4939,0.8195681,0.44882548,2942.4871
273.52393,0.81973767,0.44889259,2943.7671
273.55396,0.81978011,0.44894621,2941.3562
273.58398,0.8197934,0.44899932,2938.5925
273.61401,0.81986105,0.44908702,2941.7019
273.64404,0.81992781,0.44913748,2940.7422
273.67407,0.82012546,0.44920161,2940.3284
273.7041,0.82016474,0.44928995,2940.8398
273.73413,0.82030034,0.44935641,2940.2676
273.76416,0.82042366,0.44943264,2941.0955
273.79419,0.8204928,0.44948176,2940.3777
273.82422,0.82051039,0.44955739,2939.5459
273.85425,0.8206532,0.44959638,2941.0984
273.88428,0.82074624,0.44966936,2940.4099
273.91431,0.82077569,0.44974628,2940.771
273.94434,0.82086271,0.44978765,2939.386
273.97437,0.82098442,0.44986165,2940.3413
274.00439,0.82106102,0.44990581,2942.751
274.03442,0.82119453,0.44998124,2942.4146
274.06445,0.82131553,0.45005223,2941.3267
274.09448,0.82137281,0.45012558,2940.4045
274.12451,0.8214739,0.45018458,2942.0815
274.15454,0.8215366,0.45024994,2941.832
274.18457,0.8216415,0.45031303,2940.3877
274.2146,0.82173222,0.45038852,2942.4539
274.24463,0.82188892,0.45043349,2941.9846
274.27466,0.82192683,0.45050824,2940.5176
274.30469,0.82205427,0.4505775,2941.3604
274.33472,0.82209444,0.45063978,2942.4968
274.36475,0.82216948,0.45070356,2941.0178
274.39478,0.82226604,0.45077425,2941.7227
274.4248,0.8222608,0.45082855,2940.1299
274.45483,0.82238728,0.45087662,2942.1421
274.48486,0.82254809,0.45094076,2941.1511
274.51489,0.82264793,0.45103365,2941.825
274.54492,0.82276267,0.45108017,2940.8618
274.57495,0.82273287,0.45116386,2942.5574
274.60498,0.82290453,0.45122868,2942.6951
274.63501,0.82302386,0.45130807,2943.3467
274.66504,0.82308161,0.45136759,2943.7522
274.69507,0.8231892,0.45141461,2941.5859
274.7251,0.82327485,0.45151305,2942.5662
274.75513,0.82327026,0.45155516,2942.9712
274.78516,0.82344395,0.45162916,2944.2173
274.81519,0.82350737,0.45169362,2944.0896
274.84521,0.82358706,0.451772,2943.7219
274.87524,0.82367051,0.45182684,2942.0518
274.90527,0.82376772,0.45191038,2941.8542
274.9353,0.82386106,0.45197362,2941.4829
274.96533,0.82396603,0.4520258,2943.4009
274.99536,0.82393831,0.45209962,2942.9319
275.02539,0.82414567,0.45217004,2944.4204
275.05542,0.82423085,0.45221829,2943.1458
275.08545,0.82431567,0.45227075,2940.9006
275.11548,0.82443786,0.45234737,2944.2434
275.14551,0.82446855,0.45241442,2940.314
275.17554,0.82461303,0.45247704,2942.5403
275.20557,0.82468635,0.4525291,2940.7566
275.2356,0.82482213,0.45259097,2941.4221
275.26563,0.82485318,0.45267278,2942.2737
275.29565,0.82497835,0.45274088,2942.8718
275.32568,0.82500023,0.45279789,2941.8342
275.35571,0.82514745,0.45286301,2942.5815
275.38574,0.82526261,0.45293826,2942.3948
275.41577,0.82530665,0.4529891,2941.6785
275.4458,0.82546806,0.4530611,2942.418
275.47583,0.82553047,0.45312488,2942.8499
275.50586,0.82561284,0.45319757,2942.1865
275.53589,0.82565314,0.45327234,2943.238
275.56592,0.82582378,0.4533323,2942.9063
275.59595,0.82587564,0.4533948,2942.2693
275.62598,0.82587677,0.4534297,2942.9077
275.65601,0.82608658,0.45350105,2943.6301
275.68604,0.8260482,0.45357245,2942.5627
275.71606,0.82622677,0.45363173,2942.78
275.74609,0.8262881,0.45371303,2943.4675
275.77612,0.82645327,0.45377403,2941.9458
275.80615,0.82648015,0.4538314,2943.9265
275.83618,0.82660639,0.45391029,2943.2502
275.86621,0.82675827,0.45397392,2944.4116
275.89624,0.82682753,0.45406413,2945.5107
275.92627,0.82686836,0.45412618,2942.7842
275.9563,0.82693177,0.4541851,2943.0808
275.98633,0.82704633,0.45422268,2941.9534
276.01636,0.82714784,0.45429033,2944.8657
276.04639,0.82722759,0.45437485,2943.0327
276.07642,0.82726485,0.4544332,2940.188
276.10645,0.82740963,0.4545075,2942.6062
276.13647,0.82740647,0.454593,2943.6414
276.1665,0.82756072,0.45464259,2943.5354
276.19653,0.8276667,0.45473313,2944.4636
276.22656,0.82779282,0.45477429,2945.25
276.25659,0.82787895,0.45481935,2941.5383
276.28662,0.82798725,0.45489815,2943.6384
276.31665,0.82814455,0.45496571,2944.7578
276.34668,0.82812512,0.45503321,2945.1951
276.37671,0.82826924,0.45509854,2944.5876
276.40674,0.82834393,0.45516264,2944.3411
276.43677,0.82841319,0.45522496,2943.2424
276.4668,0.82851303,0.45530468,2942.8772
276.49683,0.82854092,0.45536047,2944.2712
276.52686,0.82870895,0.45542559,2944.4736
276.55688,0.82874209,0.45549208,2945.1631
276.58691,0.8287757,0.45556134,2942.1626
276.61694,0.82892168,0.45563132,2943.8821
276.64697,0.82902002,0.45568398,2943.6968
276.677,0.82917184,0.45576763,2945.3733
276.70703,0.82922673,0.4558191,2945.4409
276.73706,0.82926828,0.45587808,2944.0569
276.76709,0.8294605,0.45595276,2943.9202
276.79712,0.82952642,0.45601669,2943.511
276.82715,0.82953078,0.45607099,2940.4294
276.85718,0.82966143,0.45614082,2942.926
276.88721,0.82967728,0.45622507,2943.9326
276.91724,0.82989144,0.45628482,2945.8816
276.94727,0.82995701,0.45634919,2943.4846
276.97729,0.82995045,0.45641926,2943.2637
277.00732,0.83011341,0.45647967,2944.7471
277.03735,0.83024192,0.456563,2942.8242
277.06738,0.83020186,0.45661774,2944.1416
277.09741,0.83036357,0.45669684,2943.8367
277.12744,0.83053309,0.45674393,2944.0605
277.15747,0.83055544,0.45680648,2943.1543
277.1875,0.83060026,0.45688131,2944.6758
277.21753,0.83073211,0.45694566,2944.1316
277.24756,0.83078533,0.45702642,2944.2004
277.27759,0.83095574,0.45708013,2944.3955
277.30762,0.83104914,0.45714754,2945.9304
277.33765,0.83112699,0.45720074,2946.1045
277.36768,0.83119649,0.4572933,2945.4683
277.39771,0.83131093,0.45736071,2945.0176
277.42773,0.83135349,0.45740914,2945.4727
277.45776,0.83143198,0.45749265,2945.2815
277.48779,0.83161169,0.45753896,2945.5564
277.51782,0.83155346,0.45761296,2943.927
277.54785,0.83173084,0.45768216,2945.3386
277.57788,0.83187807,0.45775586,2943.9534
277.60791,0.83191609,0.4578152,2943.9641
277.63794,0.83200163,0.45788208,2943.4407
277.66797,0.83205599,0.45793402,2943.6096
277.698,0.83209223,0.45800644,2944.7971
277.72803,0.83229041,0.45806059,2945.3743
277.75806,0.83237243,0.45814806,2946.1519
277.78809,0.83245921,0.45823467,2946.0669
277.81812,0.83253157,0.45828107,2944.6895
277.84814,0.83263004,0.45834225,2945.4055
277.87817,0.83268225,0.45840085,2944.3281
277.9082,0.83279467,0.45846519,2944.9771
277.93823,0.83285677,0.4585517,2943.7642
277.96826,0.83295017,0.45861432,2945.646
277.99829,0.83313918,0.45866665,2946.6394
278.02832,0.83309019,0.45872962,2943.8267
278.05835,0.83325857,0.45880756,2946.7314
278.08838,0.83338416,0.45886669,2947.616
278.11841,0.83340907,0.45893294,2945.949
278.14844,0.83354342,0.45898932,2943.9102
278.17847,0.83363986,0.45906466,2943.7717
278.2085,0.833731,0.45913947,2944.949
278.23853,0.83374536,0.45919597,2945.8865
278.26855,0.83384514,0.45927024,2943.0083
278.29858,0.8339752,0.45932296,2943.3174
278.32861,0.83402741,0.45939031,2944.7925
278.35864,0.83412731,0.45947209,2946.4678
278.38867,0.8342911,0.45952421,2945.5127
278.4187,0.83433324,0.45958495,2946.1895
278.44873,0.83442169,0.45965385,2945.627
278.47876,0.83455229,0.45973286,2944.8384
278.50879,0.83455551,0.45981026,2946.0127
278.53882,0.83469653,0.45986989,2944.4758
278.56885,0.8347891,0.45993361,2944.459
278.59888,0.83490467,0.45999604,2945.251
278.62891,0.83491921,0.46007934,2947.0095
278.65894,0.83504611,0.46014512,2945.1213
278.68896,0.83512628,0.46020216,2945.2246
278.71899,0.83523113,0.46026999,2946.0139
278.74902,0.83529335,0.46036336,2944.5054
278.77905,0.83539736,0.46039385,2944.2388
278.80908,0.83546269,0.46046168,2944.4287
278.83911,0.83554929,0.46053684,2944.752
278.86914,0.83570534,0.46060446,2944.2827
278.89917,0.83575892,0.4606882,2946.3074
278.9292,0.83582109,0.46071592,2943.8806
278.95923,0.83594292,0.46079367,2944.9819
278.98926,0.83604586,0.46084586,2945.8611
279.01929,0.83614749,0.46093857,2946.9299
279.04932,0.83623242,0.46099684,2947.2048
279.07935,0.83632958,0.46106243,2946.1765
279.10938,0.83641392,0.46112674,2946.551
279.1394,0.83642226,0.46119991,2945.5161
279.16943,0.83660424,0.46126869,2946.4058
279.19946,0.83664876,0.46131593,2945.0579
279.22949,0.83681077,0.46139088,2945.6138
279.25952,0.83688486,0.46147245,2948.2202
279.28955,0.8370142,0.46153298,2946.9495
279.31958,0.83713096,0.46160448,2947.3479
279.34961,0.83719814,0.4616566,2947.6897
279.37964,0.8372007,0.46172196,2943.7034
279.40967,0.83736211,0.46179944,2947.3787
279.4397,0.83739781,0.4618696,2945.5325
279.46973,0.83753359,0.46193016,2947.8472
279.49976,0.83756673,0.46198246,2946.4053
279.52979,0.83768529,0.46205848,2946.7048
279.55981,0.83782965,0.46214068,2947.8411
279.58984,0.83781898,0.46219632,2945.9407
279.61987,0.8379038,0.46226579,2945.7244
279.6499,0.83803648,0.46231261,2943.2996
279.67993,0.83808094,0.46238449,2945.2939
279.70996,0.83820873,0.46247175,2946.9966
279.73999,0.83834743,0.46251795,2946.9526
279.77002,0.83836174,0.46260756,2947.0471
279.80005,0.83855176,0.46264729,2946.6375
279.83008,0.83855546,0.46273205,2949.0671
279.86011,0.8386535,0.46280953,2948.2139
279.89014,0.83873838,0.4628675,2946.6672
279.92017,0.83877921,0.46293259,2947.8552
279.9502,0.83894098,0.4629935,2944.6099
279.98022,0.83899438,0.46306175,2945.8738
280.01025,0.83914185,0.46313286,2947.491
280.04028,0.83924055,0.46319777,2947.1758
280.07031,0.83935905,0.46324474,2948.2554
280.10034,0.83937252,0.46333447,2945.5061
280.13037,0.83950561,0.46342483,2947.3884
280.1604,0.83956736,0.46346208,2944.5637
280.19043,0.83966273,0.46351036,2945.4929
280.22046,0.83973908,0.46358246,2947.9609
280.25049,0.83982015,0.46367124,2948.5486
280.28052,0.83995157,0.4637261,2947.6035
280.31055,0.83994597,0.46378139,2948.2996
280.34058,0.84009093,0.46385285,2944.8105
280.37061,0.84018266,0.46392453,2945.5322
280.40063,0.84029478,0.46398622,2946.4421
280.43066,0.84038001,0.46406537,2945.7402
280.46069,0.84043986,0.4641332,2948.2209
280.49072,0.84062999,0.46420097,2949.2791
280.52075,0.8406564,0.46428105,2948.6396
280.55078,0.84078956,0.46433452,2946.5488
280.58081,0.84084684,0.46443135,2947.0459
280.61084,0.84091133,0.46447557,2946.2224
280.64087,0.84101558,0.46453595,2948.7544
280.6709,0.84109992,0.46460387,2946.7769
280.70093,0.84122878,0.46467978,2946.9683
280.73096,0.84133154,0.46474722,2947.2019
280.76099,0.84139371,0.46480399,2946.2786
280.79102,0.84139687,0.46486402,2945.9709
280.82104,0.84148616,0.4649362,2947.8059
280.85107,0.84160948,0.46501726,2946.8303
280.8811,0.84168267,0.4650771,2946.3523
280.91113,0.84181833,0.46514627,2947.6177
280.94116,0.84191316,0.46523514,2949.5303
280.97119,0.84196323,0.46526077,2946.4063
281.00122,0.84205085,0.46534944,2948.1133
281.03125,0.84214824,0.46541479,2947.5767
281.06128,0.84226173,0.46550006,2947.0769
281.09131,0.84234798,0.46556062,2950.2644
281.12134,0.84245574,0.46562538,2947.7974
281.15137,0.84251702,0.46569183,2945.7292
281.1814,0.84262758,0.4657526,2947.5623
281.21143,0.84275067,0.46580976,2949.2454
281.24146,0.84281516,0.46588522,2948.7666
281.27148,0.84282786,0.46594134,2947.5332
281.30151,0.84301925,0.46603894,2948.179
281.33154,0.84310937,0.46610641,2947.0176
281.36157,0.8432104,0.46616417,2947.1724
281.3916,0.84326166,0.46622947,2947.4109
281.42163,0.84333599,0.46630338,2948.1953
281.45166,0.84339774,0.46635753,2948.2932
281.48169,0.84353971,0.46641794,2946.6465
281.51172,0.8436234,0.46649873,2948.561
281.54175,0.84370011,0.46656829,2949.5549
281.57178,0.84377837,0.46661854,2947.0681
281.60181,0.84385765,0.46670201,2947.2886
281.63184,0.84395987,0.46675715,2949.5027
281.66187,0.84407204,0.46682361,2948.4688
281.69189,0.84419101,0.46689469,2947.2725
281.72192,0.84424311,0.46696427,2947.3308
281.75195,0.84430718,0.46702617,2947.042
281.78198,0.84440577,0.46709555,2947.728
281.81201,0.84454912,0.46715236,2950.1721
281.84204,0.8445769,0.46722263,2946.7334
281.87207,0.84471607,0.46729892,2947.9285
281.9021,0.84479362,0.46737152,2948.0103
281.93213,0.84481007,0.46743295,2948.3384
281.96216,0.84498239,0.4674671,2948.1277
281.99219,0.8450458,0.46754807,2947.1599
282.02222,0.84513021,0.46761316,2948.0181
282.05225,0.84524119,0.46768922,2949.0415
282.08228,0.84536833,0.46777457,2949.5015
282.1123,0.84547275,0.46784434,2950.2351
282.14233,0.84556395,0.46790808,2950.1584
282.17236,0.84557062,0.46797571,2948.0466
282.20239,0.84575367,0.46803051,2948.7153
282.23242,0.84579849,0.4680981,2949.1475
282.26245,0.84586638,0.4681797,2949.8081
282.29248,0.84602576,0.46822459,2950.9658
282.32251,0.84602481,0.46830508,2950.3196
282.35254,0.84622198,0.46840009,2949.3918
282.38257,0.84622788,0.46844143,2948.7612
282.4126,0.84632635,0.46849772,2949.1467
282.44263,0.8463493,0.46858805,2948.9019
282.47266,0.84655094,0.46865171,2950.9382
282.50269,0.84662318,0.46870244,2949.5325
282.53271,0.84675872,0.46878031,2948.8228
282.56274,0.84677285,0.46887174,2951.9365
282.59277,0.84684527,0.46891409,2948.1016
282.6228,0.84693354,0.468963,2947.6736
282.65283,0.84703046,0.46904883,2950.0339
282.68286,0.84712714,0.46912235,2949.3157
282.71289,0.84725082,0.46918011,2949.2913
282.74292,0.84726679,0.46924585,2949.4038
282.77295,0.84736264,0.46932086,2948.4131
282.80298,0.84745079,0.46938953,2950.3428
282.83301,0.8475582,0.46944815,2949.7275
282.86304,0.84769136,0.46951908,2948.5432
282.89307,0.84777397,0.46960112,2947.5964
282.9231,0.847844,0.4696545,2950.2834
282.95313,0.84791785,0.46972772,2949.1084
282.98315,0.84813201,0.46979898,2951.176
283.01318,0.84817302,0.46987224,2949.1155
283.04321,0.84822387,0.46993226,2949.3828
283.07324,0.84826386,0.46999511,2949.729
283.10327,0.84843868,0.47007501,2948.9797
283.1333,0.8484782,0.47015327,2948.7659
283.16333,0.84854203,0.47021073,2949.0833
283.19336,0.84865433,0.47025982,2948.6172
283.22339,0.84873426,0.47032368,2950.1167
283.25342,0.84888923,0.47040597,2950.5508
283.28345,0.84892678,0.47049272,2948.355
283.31348,0.8490392,0.470561,2950.2737
283.34351,0.84911841,0.47059444,2948.8213
283.37354,0.84914869,0.47069031,2948.8018
283.40356,0.84932643,0.47074756,2949.6975
283.43359,0.84934372,0.47083297,2948.9399
283.46362,0.84948331,0.47089133,2950.8591
283.49365,0.84962702,0.47094521,2950.5317
283.52368,0.8495869,0.4710094,2947.863
283.55371,0.8497057,0.47109365,2948.8201
283.58374,0.84982669,0.47114864,2948.4492
283.61377,0.84989971,0.4712145,2949.2354
283.6438,0.84992808,0.47128102,2950.4758
283.67383,0.85014284,0.47134811,2947.3345
283.70386,0.85010153,0.47141773,2950.1482
283.73389,0.85028076,0.47149876,2952.1401
283.76392,0.85029465,0.47155091,2949.3066
283.79395,0.85039592,0.47161704,2950.1565
283.82397,0.85051137,0.47168633,2949.981
283.854,0.85070026,0.47175893,2949.2329
283.88403,0.85081118,0.47184318,2951.6787
283.91406,0.8508715,0.47189879,2949.3401
283.94409,0.85096705,0.47193769,2951.4512
283.97412,0.85096991,0.47202262,2950.0725
284.00415,0.85105383,0.47210282,2950.6995
284.03418,0.85114098,0.4721801,2949.2744
284.06421,0.85128266,0.47224373,2951.1243
